url	email	technology	nuts
    http://opendata.freiburg.de	thomas.willmann@stadt.freiburg.de	Website	DE131
    https://daten.rlp.de/organization/ortsgemeinde_galenberg			DEB12
    https://www.offenesdatenportal.de/organization/stadt-geldern			DEA1B
https://opendata.gelsenkirchen.de/	ulrike.karn@gelsenkirchen.de	DKAN	DEA32
    https://daten.rlp.de/organization/verbandsgemeinde_gerolstein			DEB24
    https://daten.rlp.de/organization/ortsgemeinde_glees			DEB12
    https://opendata.schleswig-holstein.de/organization/glueckstadt			DEF0E
    https://www.offenesdatenportal.de/organization/stadt-goch	pressestelle@goch.de		DEA1B
    https://daten.rlp.de/organization/gemeinde_grafschaft			DEB12
https://www.o-sp.de/grevenbroich/opendata.php			DEA1D
via Musterdatenkatalog Deutschland			
via Musterdatenkatalog Deutschland			DEA1C
    https://opendata.ruhr/organization/hagen			DEA53
http://opendata.halle.de	opendata@halle.de	Website	DEE02
    https://daten.rlp.de/organization/verbandsgemeinde_hamm			DEB23
https://www.o-sp.de/harsewinkel/opendata.php			DEA42
https://www.o-sp.de/hattingen/opendata.php			DEA56
    https://www.heerlen.nl			
https://opendata.heilbronn.de	opendata@heilbronn.de	DKAN	DE117
https://www.o-sp.de/heiligenhaus/opendata			DEA1C
    http://offenedaten.kdvz-frechen.de/group/heimbach	offene-daten@kdvz-frechen.de	DKAN	
via Musterdatenkatalog Deutschland			DEA2C
https://opendata.herne.de/	opendata@herne.de	GeoNetwork	DEA55
via Musterdatenkatalog Deutschland			DEA1C
    https://daten.rlp.de/organization/ortsgemeinde_hohenleimbach			DEB12
https://www.holzwickede.de/seite/307793/open-data.html	opendata@holzwickede.de		DEA5C
    http://offenedaten.kdvz-frechen.de/group/h%C3%BCrtgenwald	offene-daten@kdvz-frechen.de	DKAN	DEA26
https://www.o-sp.de/huerth/opendata.php			DEA27
https://www.ingolstadt.de/Service/Weitere-Themen/Open-Data/			DE211
via Musterdatenkatalog Deutschland			DEA58
    https://opendata.jena.de/	info@jena.de	CKAN	DEG03
    https://daten.rlp.de/organization/verbandsgemeinde_jockgrim			DEB3E
https://www.o-sp.de/juechen/opendata.php			DEA1D
    http://offenedaten.kdvz-frechen.de/group/j%C3%BClich	offene-daten@kdvz-frechen.de	DKAN	DEA26
https://www.o-sp.de/kaarst/opendata			DEA1D
    http://offenedaten.kdvz-frechen.de/group/kall	offene-daten@kdvz-frechen.de	DKAN	DEA28
https://www.o-sp.de/kamen/opendata			DEA5C
https://transparenz.karlsruhe.de/	transparenz@karlsruhe.de	CKAN	DE122
    https://daten.rlp.de/organization/verbandsgemeinde_kastellaun			DEB1D
    https://daten.rlp.de/organization/ortsgemeinde_kempenich			DEB12
    http://offenedaten.kdvz-frechen.de/group/kerpen	offene-daten@kdvz-frechen.de	DKAN	DEA27
    https://opendata.schleswig-holstein.de/organization/landeshauptstadt-kiel		CKAN	DEF02
    https://daten.rlp.de/organization/verbandsgemeinde_kirchberg			DED45
    https://www.offenesdatenportal.de/organization/stadt-kleve		CKAN	DEA1B
    https://daten.rlp.de/organization/ortsgemeinde_kollweiler			DEB3F
    http://offenedaten-koeln.de/	I/D2-Poststelle@stadt-koeln.de	DKAN	DEA23
    https://daten.rlp.de/organization/ortsgemeinde_koenigsfeld			DED43
    https://offenedaten-konstanz.de/	offenedaten@konstanz.de	DKAN	DE138
    https://www.offenesdatenportal.de/organization/krefeld	florian.reykers@krefeld.de	CKAN	DEA14
    http://offenedaten.kdvz-frechen.de/group/kreuzau	offene-daten@kdvz-frechen.de	DKAN	DEA26
    https://daten.rlp.de/organization/stadt_landau			
    http://offenedaten.kdvz-frechen.de/group/langerwehe	offene-daten@kdvz-frechen.de	DKAN	DEA26
    https://opendata.leipzig.de		CKAN	DED51
https://www.o-sp.de/lemgo/opendata			DEA45
https://www.o-sp.de/lengerich/opendata			DEA37
    http://offenedaten.kdvz-frechen.de/group/linnich	offene-daten@kdvz-frechen.de	DKAN	DEA26
https://www.o-sp.de/lippstadt/opendata.php			DEA5B
https://www.o-sp.de/luedenscheid/opendata			DEA58
    https://daten.rlp.de/organization/about/ortsgemeinde_mackenbach			DEB3F
https://www.magdeburg.de/Start/B%C3%BCrger-Stadt/Verwaltung-Service/Offene-Verwaltungsdaten		Website	DEE03
    https://daten.rlp.de/organization/stadt_mainz			DEB35
https://opendata.mannheim.de/	opendata@mannheim.de	OpenDataSoft	DE126
    https://daten.rlp.de/organization/stadt_mayen			DEB17
https://opendata.meerbusch.de/	opendata@meerbusch.de	CKAN	DEA1D
via Musterdatenkatalog Deutschland			DEG0B
    https://daten.rlp.de/organization/verbandsgemeinde_meisenheim			DEB14
via Musterdatenkatalog Deutschland			
    http://offenedaten.kdvz-frechen.de/group/merzenich	offene-daten@kdvz-frechen.de	DKAN	DEA26
https://www.minden.de/stadt_minden/de/B%C3%BCrger,%20Service,%20Politik/Offene%20Daten/Datens%C3%A4tze/			DEB23
http://stadt-mittenwalde.opendata.arcgis.com/		ArcGIS	DE40I
http://offenedaten.moers.de/	offenedaten@moers.de	CKAN	
http://offenedaten.moenchengladbach.de/	offenedaten@moenchengladbach.de	TYPO3	DEA15
http://www.opengov-muenchen.de	data.opengov@muenchen.de	CKAN	DE212
https://opendata.stadt-muenster.de/	opendata@citeq.de	Drupal	DEA33
http://www.neubrandenburg.de/opendata/			DE80J
https://ckan.www.open.nrw.de/organization/neuss			DEA1D
    http://offenedaten.kdvz-frechen.de/group/niederzier	offene-daten@kdvz-frechen.de	DKAN	DEA26
    https://opendata.schleswig-holstein.de/organization/norderstedt		CKAN	DEF0D
    http://offenedaten.kdvz-frechen.de/group/n%C3%B6rvenich	offene-daten@kdvz-frechen.de	DKAN	DEA26
    https://daten.rlp.de/organization/verbandsgemeinde_obere_kyll			
    https://opendata.ruhr/organization/oberhausen			DE21N
https://www.o-sp.de/oelde/opendata.php			DEA38
    https://daten.rlp.de/organization/verbandsgemeinde_otterbach_otterberg			
https://opendata.potsdam.de/	opendata@rathaus.potsdam.de	OpenDataSoft	DE404
    https://daten.rlp.de/organization/verbandsgemeinde_puderbach			DEB18
    https://opendata.ruhr/organization/recklinghausen			DEA36
    https://opendata.ruhr/			
    https://daten.rlp.de/organization/ortsgemeinde_reichenbach_steegen			DEB3F
    https://daten.rlp.de/organization/stadt_remagen			DEB12
via Musterdatenkatalog Deutschland			DEA18
via Musterdatenkatalog Deutschland			DEA42
    https://offenedaten.kdvz-frechen.de/			
    https://daten.rlp.de/organization/verbandsgemeinde_rheinboellen			DEB1D
    https://offenedaten.aachen.de/organization/gemeinde-roetgen			
http://www.opendata-hro.de/	opendata.hro@rostock.de	CKAN	DE803
    https://daten.rlp.de/organization/verbandsgemeinde_sankt_goar___oberwesel			
    https://www.offenesdatenportal.de/organization/gemeinde-schwalmtal			DE725
    https://daten.rlp.de/organization/ortsgemeinde_schwedelbach			DEB3F
    https://daten.rlp.de/organization/verbandsgemeinde_selters			
    http://offenedaten.kdvz-frechen.de/group/siegburg	offene-daten@kdvz-frechen.de	DKAN	DEA2C
via Musterdatenkatalog Deutschland			DEA5A
    https://offenedaten.aachen.de/organization/gemeinde-simmerath			
    https://daten.rlp.de/organization/verbandsgemeinde_simmern			DEB1B
http://open.muelheim-ruhr.de		DKAN	DEA16
https://www.staedteregion-aachen.de			
https://www.statistik-nord.de/			
via Musterdatenkatalog Deutschland			
via Musterdatenkatalog Deutschland			DE111
via Musterdatenkatalog Deutschland			DEA34
via Musterdatenkatalog Deutschland			DE922
    https://daten.rlp.de/organization/verbandsgemeinde_thalfang_am_erbeskopf			
    http://offenedaten.kdvz-frechen.de/group/titz	offene-daten@kdvz-frechen.de	DKAN	DEA26
    https://daten.rlp.de/organization/verbandsgemeinde_traben_trabach			
    https://daten.rlp.de/organization/stadt_trier			DEB21
via Musterdatenkatalog Deutschland			DEA2C
via Musterdatenkatalog Deutschland			DEG06
    http://daten.ulm.de/		Website	DE144
    https://daten.rlp.de/organization/verbandsgemeinde_altenahr	info@altenahr.de		
    https://daten.rlp.de/organization/verbandsgemeinde_sankt_goar___oberwesel			
    http://offenedaten.kdvz-frechen.de/group/vettwei%C3%9F	offene-daten@kdvz-frechen.de	DKAN	DEA26
    https://www.offenesdatenportal.de/organization/stadt-viersen			DEA1E
    https://daten.rlp.de/organization/verbandsgemeinde_vordereifel			
via Musterdatenkatalog Deutschland			DEA34
    https://www.offenesdatenportal.de/organization/gemeinde-wachtendonk		CKAN	DEA1B
https://www.o-sp.de/waltrop/opendata			DEA36
    https://daten.rlp.de/organization/ortsgemeinde_weilerbach			DEB3F
http://data.wennigsen.net/	jens@spiwi.de	Website	DE929
https://www.o-sp.de/werne/opendata			DEA5C
    http://opendata.wesel.de/	informationstechnik@wesel.de	CKAN	DEA1F
    http://offenedaten.kdvz-frechen.de/group/wesseling	offene-daten@kdvz-frechen.de	DKAN	DEA27
    https://daten.rlp.de/organization/stadt_wittlich			DEB22
    https://daten.rlp.de/organization/stadt_woerth			DE21A
http://www.offenedaten-wuppertal.de/	offenedaten@stadt.wuppertal.de	DKAN	DEA1A
    https://daten.berlin.de	opendata@berlin.de	CKAN	DE300
http://daten.bremen.de/	transparenz@finanzen.bremen.de	Website	DE501
http://daten.hamburg.de/	transparenzportal@bkm.hamburg.de	CKAN	
    https://www.govdata.de/	info@govdata.de	CKAN+Liferay	DE
http://www.hochsauerlandkreis.de/buergerservice/bauen_wohnen_kataster/geo_service/OpenData/		Website	
via Musterdatenkatalog Deutschland			
    http://offenedaten.kdvz-frechen.de/group/kreis-euskirchen	offene-daten@kdvz-frechen.de	DKAN	DEA28
via Musterdatenkatalog Deutschland			
via Musterdatenkatalog Deutschland			
    https://www.offenesdatenportal.de/organization/kreis-kleve		CKAN	DEA1B
via Musterdatenkatalog Deutschland			
    https://opendata.schleswig-holstein.de/organization/nordfriesland			
    https://opendata.schleswig-holstein.de/organization/kreis-ostholstein			
    https://opendata.schleswig-holstein.de/organization/kreis-pinneberg			
https://geoserver4.kreis-re.de/geonetwork/		GeoNetwork	
    https://www.kreis-soest.de/gis/start/opendata/opendata.php		Website	
    https://gis-kreis-steinfurt.opendata.arcgis.com/	gdm@kreis-steinfurt.de	ArcGIS	
    https://opendata.ruhr/organization/kreis-unna			
    https://www.offenesdatenportal.de/organization/kreis-viersen	michael.stein@kreis-viersen.de	CKAN	DEA1E
    https://www.offenesdatenportal.de/organization/kreis-wesel	patrick.erhart@kreis-wesel.de		
    https://data-lra-cha.opendata.arcgis.com/	gis@lra.landkreis-cham.de	ArcGIS	
    https://daten.diepholz.de/		DKAN	
    https://open.lklg.net/	opendata@lklg.de	CKAN	DE935
via Musterdatenkatalog Deutschland			
    http://offenesdatenportal.de/	info@krzn.de	CKAN	
http://www.ortenaukreis.de/Online-Dienste/Open-Data		Website	DE134
http://opendata.rhein-kreis-neuss.de/	digitalisierung@rhein-kreis-neuss.de	OpenDataSoft	
https://www.bast.de/BASt_2017/DE/Fahrzeugtechnik/Fachthemen/Baustelleninformation/baustelleninformation.html	mdm@bast.de	Website	
http://www.geodatenzentrum.de/geodaten/gdz_rahmen.gdz_div?gdz_spr=deu&gdz_akt_zeile=5&gdz_anz_zeile=0&gdz_user_id=0		Website	
    https://www.mcloud.de/web/guest/suche/-/results/searchAgg?_mcloudsearchportlet_aggsChoice=extras.displayContact.name.raw%3A%22Bundesamt+f%C3%BCr+Seeschifffahrt+und+Hydrographie+(BSH)%22			
    http://data.deutschebahn.com/	DBOpenData@deutschebahn.com	CKAN	
    https://opendata.dwd.de/		Website	
https://opendata-esri-de.opendata.arcgis.com/		Website	
https://www.lgl-bw.de/lgl-internet/opencms/de/07_Produkte_und_Dienstleistungen/Open_Data_Initiative/	geodaten@lgl.bwl.de	Website	
    https://opendata.ruhr/	opendata@rvr.ruhr	CKAN	
https://www.nvbw.de/aufgaben/digitale-mobilitaet/open-data/	opendata@nvbw.de	TYPO3	
    https://opendata.schleswig-holstein.de/organization/nordkirche			
https://offenedaten.de/	info@okfn.de	CKAN	
    https://www.opendata-oepnv.de/	opendata-oepnv@vrr.de	CKAN	
http://opendata.service-bw.de			DE1
    http://www.opendata.bayern.de/	poststelle@stmflh.bayern.de	CKAN	DE2
    https://datenadler.de/	frank.schiersner@mik.brandenburg.de	PKAN	
    https://open.nrw/	kontakt@open.nrw.de	Drupal	
    http://daten.rlp.de/	referat391@mdi.rlp.de	CKAN	DEB
    http://www.opendata.sachsen.de/	opendata@sid.sachsen.de	Website	DED
    https://opendata.schleswig-holstein.de/	opendata@lr.landsh.de	CKAN	
    https://www.mcloud.de/	mcloud@bmvi.bund.de	InGRID	
